Nom;Stock;Reel;Change
33 Export;1;18;
4 Cousins Sweet White;9;1;1
Baron Blanc de Blancs;10;3;1
Baron d'arignac Rosé;0;0;1
Baron D'arignac rouge moelleux;1;;
Baron D'arignac Rouge Sec;6;;
BAVARIA;11;15;
BEAUFORT GRAND;20;130;
BEAUFORT PETIT;4;75;
Beck's;0;;
Beluga Vodka Mesure;2;;
Bonobo KwiluRhum;12;;
Bouteille Château Benauge;0;;
Bouteille de Black Label 37.5cl;1;;
Bouteille de Bouteille Vodka Absolut;6;;
Bouteille de Gin Bombay 1L;0;;
Bouteille de Gin Roku;0;;
Bouteille de Jägermeifter;5;;
Bouteille de Red Label 37.5cl;13;;
Bouteille de vin blanc Longchamp;2;;
Bouteille Disaronno;1;;
Bouteille Double back 1L;1;;
Bouteille Glenfiddich 15ans;14;;
Bouteille Jack Daniels Single barrel;0;;
Bouteille Jacques Daniel Honey 1L;1;;
Bouteille Martel;5;;
Bouteille Martell Blue Swift;1;;
Bouteille Martell XO;0;;
Bouteille Sheridan's;2;;
Bouteille Signore Prosecco;0;;
Bouteille Sir Edward 1L;0;;
Bouteille Sir Edward 2.5L;0;;
Bouteille Vin Blanc Louderne les Folies;0;;
Bouteille Vodka Magic Moments;0;;
Bumbu Xo Rhum;4;;
CAFÉ NESPRESSO;4;;
Carton Jus;1;;
Cassis;5;;
CASTEL;25;127;
Champagne Billecart-salmon réserve;1;2;1
Champagne Mercier Brut;0;;1
Champagne Veuve Clicquot Rosé;0;;1
Citron, Miel et Gingembre;0;;
COCA EN BOUTEILLE;388;17;
COCA EN CANETTE;88;;
COCA ZERO;18;17;
Cocktail avec Alcool;2;;
Cocktail avec Gingembre;2;;
Cocktail Gingembre avec JW Black Label;3;;
Cocktail long Island;17;;
Cocktail sans Alcool;2;;
Cocktail XL Mood;8;;
CORONA;57;19;
Courvoisier Bouteille 1L;0;;
Don Oscart;2;4;1
DOPPEL;5;0;
Droit de Bouchon;98;;
Duvel;55;36;
Duvel Grand;1;1;
EAU;8;16;
Eau Gazeuse;1;1;
Energie Malt;10;15;
FANTA ORANGE;8;0;
Gigot 1pc;0;;
Gin Mare Mesure;16;;
Glenfiddich 18 yrs;0;;
Glenfiddish 12Y 35cl;0;;
Grant's;0;;
Guinness;11;19;
HEINEKEN;21;37;
Heineken grand 50cl;0;;
Heineken importée;16;17;
Heineken Zéro;12;15;
Jack Daniel’s Rye;1;;
Jack Daniels Gentleman 70 cl;2;;
Johnny Walker Gold 1 litre;0;;
Kwak;1;;
LEFFE BLONDE;4;0;
Leffe blonde en Canette;0;;
LEFFE BRUNE;13;43;
LEGEND;11;16;
Legend Grand;0;;
MALTA;0;0;
Maltina;7;8;
Martini sans Alcool;1;1;1
Mateus;2;;
Mesure de Cinzano Bianco;6;;
Mesure de Gin Roku;20;;
Mesure de Kahlua;2;;
Mesure de Tequila Olmeca;0;;
Mesure Gentleman Jack;0;;
Mesure Grundheim;2;;
Mesure Jack Daniel RYE Single Barrel;6;;
Mesure Martel;8;;
Mesure Martell Blue Swift;1;;
Mesure Stolichnaya;14;;
Mesure Triple Sec;12;;
Mesures de Tequila Anejo Patron;1;;
Mesures Glenfiddich 15ans;1;;
Mesures Grand Marnier;21;;
Mesures Grant's;0;;
MUTZIG;24;13;
NKOYI;0;17;
Papillon Brut;8;5;1
Pierre Gobillard Champagne;0;;
Pierre Grandet;0;3;1
Poisson  MPoka Gros braisé;6;;
Poisson Perche pour 3;0;;
Prest Moelleux;0;;
PRIMUS;48;0;
Primus La Petite;33;6;
REDBULL;2;20;
RedBull Blue;0;;
Ruinart Blanc de Blancs;2;2;1
Ruinart Brut;4;1;1
Ruinart Petit Brut;0;0;1
SAVANA;12;14;
Sir Edward Smoky;0;;
SKOL;0;;
SODA;87;13;
Soda Canette;0;;
SPRITE;32;24;
Stella Artois Bouteilles;4;9;
Stella Artois Canette;0;;
TEMBO BOUTEILLE;17;62;
Tembo la Petite;0;;
TEMBO PRESSION;5236;;
Tequila  XO Café;6;;
THÉ;0;;
THÉ au Gingembre;1;;
TONIC;8;45;
Tonic en canette;27;0;
TURBO KING;7;5;
Verre de Jus;0;;
Verre Gingembre;0;;
Vin Baron d'arignac Sec;0;1;1
Vin Blanc  cabernet Bordeaux Moelleux;0;;
Vin blanc carbenet sauvignon;1;;
Vin Blanc Domaine de Baume;1;;
Vin Rouge Celier D'Or sec;1;1;2
Vin rouge Domaine de la Baume sauvignon;1;;
Vin Rouge Durbanville Hills;4;;
Vin Rouge La Fiole du Pape;0;;
Vital’O Moyen 500ml;0;;
VITALO;97;29;
Vitalo Bouteille Grand;0;;
Westmalle;0;;
XXL;6;13;