Nom;Stock;Reel
Mesure d'Amarula;0;5
Mesure de Bacardi Blanc;66;
Mesure de Bacardi Brun;1;
Mesure de Baileys;2;6
Mesure de Black Label;0;2
Mesure de Blue Label;6;7
Mesure de Campari;4;
MOET BRUT 75cl;0;2
MOET ICE;2;1
Mesure de COINTREAU;9;
Mesure de DOUBLE BLACK;3;3
Mesure de GET 27;11;
Mesure de GIN BOMBAY;5;3
Mesure de GIN GORDON;3;5
Mesure de HENNESSY;2;10
Mesure de J&B;2;6
Mesure de JACK DANIELS;5;3
Mesure de JÄGERMEIFTER;2;5
Mesure de JAMSON;7;6
Mesure de LIMONCELLO;11;
Mesure de MALIBU;6;
Mesure de MARTINI BLANC;1;11
Mesure de MARTINI ROUGE;7;9
Mesure de RED LABEL;12;
Mesure de RICARD;5;
Mesure de TEQUILA Camilo;12;23
Bouteille de VIN BLANC Demi Sec;2;4
Bouteille de VIN ROUGE;3;
Mesure de Absolut VODKA;18;11
Mesure de CAPITAINE MORGAN;2;11
Bouteille de GIN BOMBAY 75cl;18;2
Bouteille de MARTINI ROUGE;3;
Bouteille de MARTINI BLANC;0;
Bouteille de AMARULA;3;
Bouteille de MALIBU;3;1
Bouteille de CHIVAS 12yrs;20;0
Bouteille de JAMSON;9;0
Bouteille de J&B;2;
Bouteille de DOUBLE BLACK 75cl;16;1
Bouteille de BLACK LABEL;21;
Bouteille de CHIVAS 18ans;1;2
Bouteille de CHIVAS 15ans;3;
Bouteille de JACK DANIEL'S;4;1
Bouteille de BAILEYS;9;1
Chivas 12Y Mesures;8;10
Mesure de Absolut VODKA VANILLE;0;
Mesure de DISARONNO;0;7
Bouteille de RED LABEL;15;3
Bouteille de GIN GORDON;7;
Bouteille de HENNESSY;2;
Bouteille de JACK DANIEL'S HONEY;4;2
Mesure de JACK DANIEL'S HONEY;6;10
Bouteille SIR EDWARD’S;2;
Vin Baron d’Arignac Demi Sec;1;
Cognac Bisquit Mesure;2;
Moet Brut Moyen;1;2
Hennessy 1Litre;0;
Bt Chivas 18ans 1 Litre;0;
Ms Kraken;0;
Bouteille Glenfiddich 12ans;22;0
LAGAVULIN Mesures;6;5
Johnny Walker Gold 75Cl;0;2
Mesures Johnny Walker Gold;8;
BARON ICE;1;5
Bouteille Vin Montard Ice;0;
Vin Rouge Mouton Cadet;0;
Vin Rouge Cabernet Sauvignon;0;
Vin Rosé Bordeaux;0;
Vin Rouge Haut de Médoc;0;
Bouteille Jack Daniel's 1L;0;
Chivas 15 ans mesures;3;6
Mesure de Sheridan's;17;3
Vin Rouge Zonneblom Cabernet;0;
Vin Rouge Le Bonheur Sauvignon;0;
Vin Rouge Fleur Du Cap;2;
Jack Daniel's Gentleman 1L;0;
Vin Merlot Cabernet Bordeaux;0;
Vin Cinsault Rose;4;
Bouteille Capitain Morgan;7;1
Vin Kiss me now;0;
Mesure Jack Daniel Single Barrel;5;
Bouteille de Courvoisier;0;
Mesure Glenfiddish 12 ans;2;8
4 Cousins Rouge Merlot;1;3
4 Cousins Sauvignon Rouge;0;3
4 Cousins Chardonnay Blanc;2;2
4 Cousins Sauvignon Blanc;0;3